imagefile,labelfile,target,train_id
Automatic Rifle_10.jpeg,Automatic Rifle_10.txt,0,1
Automatic Rifle_100.jpeg,Automatic Rifle_100.txt,0,1
Automatic Rifle_11.jpeg,Automatic Rifle_11.txt,0,1
Automatic Rifle_12.jpeg,Automatic Rifle_12.txt,0,1
Automatic Rifle_13.jpeg,Automatic Rifle_13.txt,0,0
Automatic Rifle_14.jpeg,Automatic Rifle_14.txt,0,1
Automatic Rifle_15.png,Automatic Rifle_15.txt,0,1
Automatic Rifle_16.png,Automatic Rifle_16.txt,0,1
Automatic Rifle_17.jpeg,Automatic Rifle_17.txt,0,1
Automatic Rifle_18.png,Automatic Rifle_18.txt,0,1
Automatic Rifle_19.jpeg,Automatic Rifle_19.txt,0,0
Automatic Rifle_20.jpeg,Automatic Rifle_20.txt,0,1
Automatic Rifle_21.jpeg,Automatic Rifle_21.txt,0,1
Automatic Rifle_22.jpeg,Automatic Rifle_22.txt,0,1
Automatic Rifle_23.jpeg,Automatic Rifle_23.txt,0,1
Automatic Rifle_24.jpeg,Automatic Rifle_24.txt,0,1
Automatic Rifle_25.jpeg,Automatic Rifle_25.txt,0,1
Automatic Rifle_26.jpeg,Automatic Rifle_26.txt,0,1
Automatic Rifle_27.jpeg,Automatic Rifle_27.txt,0,1
Automatic Rifle_28.png,Automatic Rifle_28.txt,0,0
Automatic Rifle_29.jpeg,Automatic Rifle_29.txt,0,1
Automatic Rifle_3.jpeg,Automatic Rifle_3.txt,0,1
Automatic Rifle_32.jpeg,Automatic Rifle_32.txt,0,1
Automatic Rifle_33.jpeg,Automatic Rifle_33.txt,0,1
Automatic Rifle_34.jpeg,Automatic Rifle_34.txt,0,1
Automatic Rifle_35.jpeg,Automatic Rifle_35.txt,0,0
Automatic Rifle_37.jpeg,Automatic Rifle_37.txt,0,1
Automatic Rifle_38.jpeg,Automatic Rifle_38.txt,0,1
Automatic Rifle_39.jpeg,Automatic Rifle_39.txt,0,1
Automatic Rifle_4.jpeg,Automatic Rifle_4.txt,0,1
Automatic Rifle_40.jpeg,Automatic Rifle_40.txt,0,0
Automatic Rifle_41.png,Automatic Rifle_41.txt,0,0
Automatic Rifle_42.jpeg,Automatic Rifle_42.txt,0,0
Automatic Rifle_43.png,Automatic Rifle_43.txt,0,0
Automatic Rifle_44.jpeg,Automatic Rifle_44.txt,0,1
Automatic Rifle_45.jpeg,Automatic Rifle_45.txt,0,1
Automatic Rifle_46.jpeg,Automatic Rifle_46.txt,0,1
Automatic Rifle_47.jpeg,Automatic Rifle_47.txt,0,1
Automatic Rifle_48.png,Automatic Rifle_48.txt,0,1
Automatic Rifle_49.jpeg,Automatic Rifle_49.txt,0,1
Automatic Rifle_5.jpeg,Automatic Rifle_5.txt,0,1
Automatic Rifle_50.jpeg,Automatic Rifle_50.txt,0,0
Automatic Rifle_51.jpeg,Automatic Rifle_51.txt,0,1
Automatic Rifle_52.jpeg,Automatic Rifle_52.txt,0,1
Automatic Rifle_53.jpeg,Automatic Rifle_53.txt,0,1
Automatic Rifle_54.jpeg,Automatic Rifle_54.txt,0,0
Automatic Rifle_55.jpeg,Automatic Rifle_55.txt,0,1
Automatic Rifle_56.jpeg,Automatic Rifle_56.txt,0,1
Automatic Rifle_57.jpeg,Automatic Rifle_57.txt,0,1
