cnn first 40 arson
[[6.25558584e-07 9.99999344e-01]
 [9.99999821e-01 7.63405410e-08]
 [9.99999940e-01 1.91895140e-08]
 [4.06192012e-05 9.99959290e-01]
 [9.99999583e-01 4.14870442e-07]
 [9.99659538e-01 3.40437138e-04]
 [9.99998510e-01 1.46027003e-06]
 [9.99995530e-01 4.44855186e-06]
 [9.99999464e-01 4.18896946e-07]
 [9.99979317e-01 2.05925862e-05]
 [9.99783754e-01 2.16183034e-04]
 [9.99992073e-01 7.89126352e-06]
 [9.99999940e-01 2.73160561e-09]
 [9.99995768e-01 4.16794410e-06]
 [9.99996960e-01 2.97713700e-06]
 [9.99956787e-01 4.31747358e-05]
 [3.56447816e-10 9.99999940e-01]
 [9.99979436e-01 2.04752305e-05]
 [9.99999821e-01 1.22769009e-07]
 [9.99926865e-01 7.30227912e-05]
 [9.99977291e-01 2.25997319e-05]
 [2.60710751e-13 9.99999940e-01]
 [9.99796629e-01 2.03296077e-04]
 [9.99855042e-01 1.44922757e-04]
 [2.13950966e-06 9.99997795e-01]
 [2.05756109e-07 9.99999702e-01]
 [9.99999940e-01 2.03444456e-10]
 [9.99847651e-01 1.52400971e-04]
 [3.91926151e-04 9.99608099e-01]
 [9.99999940e-01 4.72036521e-10]
 [9.99993026e-01 6.90586239e-06]
 [9.99976337e-01 2.35638945e-05]
 [1.58055832e-06 9.99998391e-01]
 [9.99999225e-01 7.59537613e-07]
 [9.99983132e-01 1.68315764e-05]
 [9.99702454e-01 2.97587423e-04]
 [4.62490179e-09 9.99999940e-01]
 [9.99989092e-01 1.08993045e-05]
 [9.99752998e-01 2.47002696e-04]
 [2.02472802e-06 9.99997914e-01]]
